stratum,level,model,guesser_model,games,length_mean,length_median,length_min,length_sd,loss_rate,length_mean_wins,opponent_mean,opponent_sd,civilian_mean,civilian_sd,rounds,clue_count_mean,clue_count_sd,guesses_mean,guesses_sd,stop_early_rate,n_early_eligible,stop_late_rate,n_late_eligible
method,strong_hebrew,meta-llama/llama-3.3-70b-instruct,google/gemini-2.5-flash,270,8.188888888888888,8.0,1,4.017326168176015,0.5296296296296297,10.244094488188976,3.0185185185185186,2.132164203598214,2.596296296296296,1.7848977106637511,2211,2.0511080958842154,0.7286089098505545,1.5771144278606966,0.5808411711353287,0.0693950177935943,1124,0.20574162679425836,418
method,strong_hebrew,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,252,8.063492063492063,8.0,1,3.685323604198935,0.6428571428571429,10.077777777777778,3.488095238095238,2.1506640183853065,3.0793650793650795,1.7924284072926633,2032,2.1028543307086616,0.714037157282625,1.672736220472441,0.7476763895977176,0.0,906,0.9088319088319088,351
method,strong_hebrew,meta-llama/llama-3.3-70b-instruct,openai/gpt-4o-mini,269,7.91449814126394,8.0,1,3.5769960804961194,0.5910780669144982,9.790909090909091,3.4981412639405205,2.160749827210669,2.929368029739777,1.8096527998043608,2129,2.082667919210897,0.7317486158217131,1.7341474870831377,0.7520421688483037,0.0028653295128939827,1047,0.8798076923076923,416
method,strong_hebrew,meta-llama/llama-3.3-70b-instruct,qwen/qwen3.5-9b,269,10.486988847583643,11.0,1,5.5068493514645835,0.7434944237918215,14.91304347826087,3.691449814126394,2.322336650242925,3.0520446096654275,2.085192442051958,2821,2.108826657213754,0.7060001748526535,1.2438851471109535,0.4940091518618712,0.49856184084372,1043,0.2887323943661972,284
method,strong_hebrew,openai/gpt-4o-mini,google/gemini-2.5-flash,270,8.255555555555556,9.0,1,3.393283693640518,0.4740740740740741,9.95774647887324,3.140740740740741,1.8699858376219087,2.7037037037037037,1.726995689810961,2229,2.1861821444593987,0.6305131740727082,1.607447285778376,0.5869298964497675,0.05973813420621931,1222,0.10682492581602374,337
method,strong_hebrew,openai/gpt-4o-mini,meta-llama/llama-3.3-70b-instruct,269,7.557620817843866,8.0,1,4.016921705735969,0.6914498141263941,10.036144578313253,3.278810408921933,2.2807510704292966,2.9442379182156135,1.9889279051389535,2033,2.229709788489916,0.6146687575303168,1.6950319724545007,0.7571573907913829,0.0,1025,0.9236641221374046,262
method,strong_hebrew,openai/gpt-4o-mini,openai/gpt-4o-mini,269,7.405204460966543,8.0,1,3.3894220403693045,0.5947955390334573,9.34862385321101,3.2342007434944238,2.0002288611219265,2.8550185873605947,1.798989895795862,1992,2.2595381526104417,0.626238110722385,1.7449799196787148,0.7594870586544445,0.0009319664492078285,1073,0.9194139194139194,273
method,strong_hebrew,openai/gpt-4o-mini,qwen/qwen3.5-9b,270,10.751851851851852,11.5,1,5.138373049788073,0.7185185185185186,14.276315789473685,3.6703703703703705,2.1980584225308015,3.1259259259259258,1.9527109346988951,2903,2.232862555976576,0.6378226098641963,1.2428522218394764,0.47319215385915786,0.527317880794702,1208,0.2131979695431472,197
method,strong_hebrew,qwen/qwen3.5-9b,google/gemini-2.5-flash,261,8.647509578544062,9.0,1,4.4796852916703775,0.7931034482758621,12.38888888888889,3.5670498084291187,2.282101450883585,3.111111111111111,2.0882250263522275,2257,2.5631369073992025,1.065091851393146,1.4723083739477183,0.6394670575012554,0.0888382687927107,878,0.1941747572815534,206
method,strong_hebrew,qwen/qwen3.5-9b,meta-llama/llama-3.3-70b-instruct,255,8.188235294117646,9.0,1,4.4078333572230965,0.8627450980392157,12.114285714285714,3.7137254901960786,2.418841689982642,3.1882352941176473,2.124996253708928,2088,2.596264367816092,1.0875985296076323,1.5239463601532568,0.7445063716439669,0.0,742,0.949238578680203,197
method,strong_hebrew,qwen/qwen3.5-9b,openai/gpt-4o-mini,255,7.9372549019607845,8.0,1,4.323073089678936,0.8549019607843137,11.27027027027027,3.4941176470588236,2.3592181212395333,3.184313725490196,2.2026623608696756,2024,2.630928853754941,1.094475376089165,1.5642292490118577,0.7758242145471073,0.0038910505836575876,771,0.90625,192
method,strong_hebrew,qwen/qwen3.5-9b,qwen/qwen3.5-9b,255,10.827450980392157,11.0,1,5.704814875897106,0.8745098039215686,15.84375,3.9176470588235293,2.5681809704515266,3.466666666666667,2.1785159532420653,2761,2.6008692502716406,1.0831646324274973,1.2220210068815647,0.48786028038951806,0.5454545454545454,957,0.31333333333333335,150
method,translate_pipeline,google/gemini-2.5-flash,google/gemini-2.5-flash,269,6.765799256505576,7.0,1,2.565736745869288,0.3420074349442379,7.909604519774011,2.3011152416356877,1.5069610437619407,2.163568773234201,1.438805181622252,1820,2.318681318681319,0.7411433581135853,1.8285714285714285,0.6205719602446027,0.06682206682206682,1287,0.043478260869565216,276
method,translate_pipeline,google/gemini-2.5-flash,meta-llama/llama-3.3-70b-instruct,262,6.83587786259542,7.0,1,3.572962939764887,0.6374045801526718,8.778947368421052,2.854961832061069,2.0459178584672197,2.7022900763358777,1.8884389405030872,1791,2.3997766610831937,0.7253432670948249,1.8107202680067003,0.8080717689150325,0.0,1018,0.9049773755656109,221
method,translate_pipeline,google/gemini-2.5-flash,openai/gpt-4o-mini,265,6.633962264150943,7.0,1,2.900819071650178,0.4867924528301887,7.985294117647059,2.920754716981132,1.795760842652018,2.449056603773585,1.570999325066575,1758,2.3862343572241183,0.7463616440607043,1.9175199089874857,0.8136010815290357,0.004424778761061947,1130,0.9212598425196851,254
method,translate_pipeline,google/gemini-2.5-flash,qwen/qwen3.5-9b,265,10.20754716981132,11.0,1,4.898045724100606,0.6566037735849056,13.252747252747254,3.5320754716981133,2.2646637974530712,2.9962264150943394,1.9895524721532516,2705,2.3944547134935306,0.7413497257976397,1.3009242144177449,0.5449633861622085,0.4935064935064935,1232,0.25,136
method,translate_pipeline,meta-llama/llama-3.3-70b-instruct,google/gemini-2.5-flash,270,7.37037037037037,7.0,1,3.0246588568970565,0.4111111111111111,8.723270440251572,3.0074074074074075,1.7691965550787594,2.466666666666667,1.6305631111611583,1990,2.747738693467337,1.0705070440603877,1.8,0.6743151004544199,0.06641509433962264,1325,0.05555555555555555,162
